uf,cod_estado,regiao,populacao
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AC,12,Norte,894470
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AL,27,Nordeste,3351543
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AM,13,Norte,4207714
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
AP,16,Norte,861773
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
BA,29,Nordeste,14930634
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
CE,23,Nordeste,9187103
