cod_municipio,municipio,uf,regiao,populacao
1100015,ALTA FLORESTA D'OESTE,RO,Norte,22728
1100023,ARIQUEMES,RO,Norte,109523
1100031,CABIXI,RO,Norte,5188
1100049,CACOAL,RO,Norte,85893
1100056,CEREJEIRAS,RO,Norte,16204
1100064,COLORADO DO OESTE,RO,Norte,15544
1100072,CORUMBIARA,RO,Norte,7220
1100080,COSTA MARQUES,RO,Norte,18798
1100098,ESPIGÃO D'OESTE,RO,Norte,32695
1100106,GUAJARÁ-MIRIM,RO,Norte,46556
1100114,JARU,RO,Norte,51620
1100122,JI-PARANÁ,RO,Norte,130009
1100130,MACHADINHO D'OESTE,RO,Norte,40867
1100148,NOVA BRASILÂNDIA D'OESTE,RO,Norte,20489
1100155,OURO PRETO DO OESTE,RO,Norte,35737
1100189,PIMENTA BUENO,RO,Norte,36881
1100205,PORTO VELHO,RO,Norte,539354
1100254,PRESIDENTE MÉDICI,RO,Norte,18571
1100262,RIO CRESPO,RO,Norte,3804
1100288,ROLIM DE MOURA,RO,Norte,55407
1100296,SANTA LUZIA D'OESTE,RO,Norte,6216
1100304,VILHENA,RO,Norte,102211
1100320,SÃO MIGUEL DO GUAPORÉ,RO,Norte,23077
1100338,NOVA MAMORÉ,RO,Norte,31392
1100346,ALVORADA D'OESTE,RO,Norte,14106
1100379,ALTO ALEGRE DOS PARECIS,RO,Norte,13255
1100403,ALTO PARAÍSO,RO,Norte,21847
1100452,BURITIS,RO,Norte,40356
1100502,NOVO HORIZONTE DO OESTE,RO,Norte,8329
1100601,CACAULÂNDIA,RO,Norte,6269
1100700,CAMPO NOVO DE RONDÔNIA,RO,Norte,14266
1100809,CANDEIAS DO JAMARI,RO,Norte,27388
1100908,CASTANHEIRAS,RO,Norte,2987
1100924,CHUPINGUAIA,RO,Norte,11472
1100940,CUJUBIM,RO,Norte,26183
1101005,GOVERNADOR JORGE TEIXEIRA,RO,Norte,7445
1101104,ITAPUÃ DO OESTE,RO,Norte,10641
1101203,MINISTRO ANDREAZZA,RO,Norte,9559
1101302,MIRANTE DA SERRA,RO,Norte,10818
1101401,MONTE NEGRO,RO,Norte,16007
1101435,NOVA UNIÃO,RO,Norte,6895
1101450,PARECIS,RO,Norte,6198
1101468,PIMENTEIRAS DO OESTE,RO,Norte,2148
1101476,PRIMAVERA DE RONDÔNIA,RO,Norte,2776
1101484,SÃO FELIPE D'OESTE,RO,Norte,5066
1101492,SÃO FRANCISCO DO GUAPORÉ,RO,Norte,20681
1101500,SERINGUEIRAS,RO,Norte,11851
1101559,TEIXEIRÓPOLIS,RO,Norte,4233
1101609,THEOBROMA,RO,Norte,10395
1101708,URUPÁ,RO,Norte,11272
1101757,VALE DO ANARI,RO,Norte,11377
1101807,VALE DO PARAÍSO,RO,Norte,6656
1200013,ACRELÂNDIA,AC,Norte,15490
1200054,ASSIS BRASIL,AC,Norte,7534
1200104,BRASILÉIA,AC,Norte,26702
1200138,BUJARI,AC,Norte,10420
1200179,CAPIXABA,AC,Norte,12008
1200203,CRUZEIRO DO SUL,AC,Norte,89072
1200252,EPITACIOLÂNDIA,AC,Norte,18696
1200302,FEIJÓ,AC,Norte,34884
1200328,JORDÃO,AC,Norte,8473
1200336,MÂNCIO LIMA,AC,Norte,19311
1200344,MANOEL URBANO,AC,Norte,9581
1200351,MARECHAL THAUMATURGO,AC,Norte,19299
1200385,PLÁCIDO DE CASTRO,AC,Norte,19955
1200393,PORTO WALTER,AC,Norte,12241
1200401,RIO BRANCO,AC,Norte,413418
1200427,RODRIGUES ALVES,AC,Norte,19351
1200435,SANTA ROSA DO PURUS,AC,Norte,6717
1200450,SENADOR GUIOMARD,AC,Norte,23236
1200500,SENA MADUREIRA,AC,Norte,46511
1200609,TARAUACÁ,AC,Norte,43151
1200708,XAPURI,AC,Norte,19596
1200807,PORTO ACRE,AC,Norte,18824
1300029,ALVARÃES,AM,Norte,16220
1300060,AMATURÁ,AM,Norte,11736
1300086,ANAMÃ,AM,Norte,13956
1300102,ANORI,AM,Norte,21477
1300144,APUÍ,AM,Norte,22359
1300201,ATALAIA DO NORTE,AM,Norte,20398
1300300,AUTAZES,AM,Norte,40290
1300409,BARCELOS,AM,Norte,27638
1300508,BARREIRINHA,AM,Norte,32483
1300607,BENJAMIN CONSTANT,AM,Norte,43935
1300631,BERURI,AM,Norte,20093
